Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D3,Men,Swimming & Diving,2023,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Men,Swimming & Diving,2022,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Men,Swimming & Diving,2019,202523,Denison,Denison University,denison,denison university,fuzzy
D3,Men,Swimming & Diving,2018,202523,Denison,Denison University,denison,denison university,fuzzy
D3,Men,Swimming & Diving,2017,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Men,Swimming & Diving,2016,202523,Denison,Denison University,denison,denison university,fuzzy
D3,Men,Swimming & Diving,2015,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2014,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2013,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2012,202523,Denison,Denison University,denison,denison university,fuzzy
D3,Men,Swimming & Diving,2011,202523,Denison,Denison University,denison,denison university,fuzzy
D3,Men,Swimming & Diving,2010,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2009,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2008,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2007,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2006,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2005,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Men,Swimming & Diving,2004,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
