Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D2,Women,Cross Country,2023,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Women,Cross Country,2022,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2021,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2019,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2018,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Women,Cross Country,2017,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2016,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Women,Cross Country,2015,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2014,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Women,Cross Country,2013,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Women,Cross Country,2012,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Women,Cross Country,2010,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Women,Cross Country,2009,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2008,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2007,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2006,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2005,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Women,Cross Country,2004,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
