Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D2,Women,Tennis,2023,132471,Barry,Barry University,barry,barry university,fuzzy
D2,Women,Tennis,2022,132471,Barry,Barry University,barry,barry university,fuzzy
D2,Women,Tennis,2021,132471,Barry,Barry University,barry,barry university,fuzzy
D2,Women,Tennis,2019,132471,Barry,Barry University,barry,barry university,fuzzy
D2,Women,Tennis,2018,132471,Barry,Barry University,barry,barry university,fuzzy
D2,Women,Tennis,2017,132471,Barry,Barry University,barry,barry university,fuzzy
D2,Women,Tennis,2014,132471,Barry,Barry University,barry,barry university,fuzzy
D2,Women,Tennis,2011,132471,Barry,Barry University,barry,barry university,fuzzy
