Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D3,Women,Soccer,2022,162928,Johns Hopkins,Johns Hopkins University,johns hopkins,johns hopkins university,alias
D3,Women,Soccer,2021,231712,Christopher Newport,Christopher Newport University,christopher newport,christopher newport university,fuzzy
D3,Women,Soccer,2019,213996,Messiah,Messiah University,messiah,messiah university,fuzzy
D3,Women,Soccer,2018,168342,Williams,Williams College,williams college,williams college,exact
D3,Women,Soccer,2017,168342,Williams,Williams College,williams college,williams college,exact
D3,Women,Soccer,2015,168342,Williams,Williams College,williams college,williams college,exact
D3,Women,Soccer,2014,232609,*Lynchburg,University of Lynchburg,lynchburg,university of lynchburg,alias
D3,Women,Soccer,2013,191630,William Smith,Hobart William Smith Colleges,william smith,hobart william smith colleges,fuzzy
D3,Women,Soccer,2012,213996,Messiah,Messiah University,messiah,messiah university,fuzzy
D3,Women,Soccer,2011,213996,Messiah,Messiah University,messiah,messiah university,fuzzy
D3,Women,Soccer,2010,225247,Hardin-Simmons,Hardin-Simmons University,hardin simmons,hardin simmons university,fuzzy
D3,Women,Soccer,2009,213996,Messiah,Messiah University,messiah,messiah university,fuzzy
D3,Women,Soccer,2008,213996,Messiah,Messiah University,messiah,messiah university,fuzzy
D3,Women,Soccer,2005,213996,Messiah,Messiah University,messiah,messiah university,fuzzy
