Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D3,Men,Wrestling,2023,173045,Augsburg,Augsburg University,augsburg,augsburg university,fuzzy
D3,Men,Wrestling,2022,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2019,173045,Augsburg,Augsburg University,augsburg,augsburg university,fuzzy
D3,Men,Wrestling,2018,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2017,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2016,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2015,173045,Augsburg,Augsburg University,augsburg,augsburg university,fuzzy
D3,Men,Wrestling,2014,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2013,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2012,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2011,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2010,173045,Augsburg,Augsburg University,augsburg,augsburg university,fuzzy
D3,Men,Wrestling,2009,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2008,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2007,173045,Augsburg,Augsburg University,augsburg,augsburg university,fuzzy
D3,Men,Wrestling,2006,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
D3,Men,Wrestling,2005,173045,Augsburg,Augsburg University,augsburg,augsburg university,fuzzy
D3,Men,Wrestling,2004,154527,Wartburg,Wartburg College,wartburg,wartburg college,fuzzy
