Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D3,Women,Lacrosse,2023,119058,Middlebury,Middlebury Institute of International Studies at Monterey,middlebury,middlebury institute of international studies at monterey,fuzzy
D3,Women,Lacrosse,2022,119058,Middlebury,Middlebury Institute of International Studies at Monterey,middlebury,middlebury institute of international studies at monterey,fuzzy
D3,Women,Lacrosse,2021,163851,Salisbury,Salisbury University,salisbury,salisbury university,fuzzy
D3,Women,Lacrosse,2019,119058,Middlebury,Middlebury Institute of International Studies at Monterey,middlebury,middlebury institute of international studies at monterey,fuzzy
D3,Women,Lacrosse,2018,212674,Gettysburg,Gettysburg College,gettysburg,gettysburg college,fuzzy
D3,Women,Lacrosse,2017,212674,Gettysburg,Gettysburg College,gettysburg,gettysburg college,fuzzy
D3,Women,Lacrosse,2016,119058,Middlebury,Middlebury Institute of International Studies at Monterey,middlebury,middlebury institute of international studies at monterey,fuzzy
D3,Women,Lacrosse,2015,196149,SUNY Cortland,State University of New York at Cortland,suny cortland,state university of new york at cortland,alias
D3,Women,Lacrosse,2014,163851,Salisbury,Salisbury University,salisbury,salisbury university,fuzzy
D3,Women,Lacrosse,2013,163851,Salisbury,Salisbury University,salisbury,salisbury university,fuzzy
D3,Women,Lacrosse,2011,212674,Gettysburg,Gettysburg College,gettysburg,gettysburg college,fuzzy
D3,Women,Lacrosse,2010,163851,Salisbury,Salisbury University,salisbury,salisbury university,fuzzy
D3,Women,Lacrosse,2008,191515,Hamilton,Hamilton College,hamilton,hamilton college,fuzzy
D3,Women,Lacrosse,2006,187134,TCNJ,The College of New Jersey,tcnj,college of new jersey,alias
D3,Women,Lacrosse,2005,187134,TCNJ,The College of New Jersey,tcnj,college of new jersey,alias
D3,Women,Lacrosse,2004,119058,Middlebury,Middlebury Institute of International Studies at Monterey,middlebury,middlebury institute of international studies at monterey,fuzzy
