Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D2,Men,Cross Country,2023,199962,Wingate,Wingate University,wingate,wingate university,fuzzy
D2,Men,Cross Country,2021,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Men,Cross Country,2018,170082,Grand Valley State,Grand Valley State University,grand valley state,grand valley state university,fuzzy
D2,Men,Cross Country,2017,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2016,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2014,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2013,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2012,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2011,133508,Western State,Florida SouthWestern State College,western state,florida southwestern state college,fuzzy
D2,Men,Cross Country,2010,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2009,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2008,126182,Adams State,Adams State University,adams state,adams state university,fuzzy
D2,Men,Cross Country,2007,222178,Abilene Christian,Abilene Christian University,abilene christian,abilene christian university,fuzzy
D2,Men,Cross Country,2006,222178,Abilene Christian,Abilene Christian University,abilene christian,abilene christian university,fuzzy
D2,Men,Cross Country,2005,133508,Western State,Florida SouthWestern State College,western state,florida southwestern state college,fuzzy
D2,Men,Cross Country,2004,133508,Western State,Florida SouthWestern State College,western state,florida southwestern state college,fuzzy
